epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.201,4.96158,3.86863,3.26824,0.05655,0.26965,0.04811,0.01637,2.90955,2.55772,1.6506,0.00332168,0.00332168,0.00332168
2,250.194,1.11842,1.99968,1.05888,0.15965,0.50137,0.19687,0.15113,0.89038,1.79886,0.92776,0.00658913,0.00658913,0.00658913
3,366.305,0.85999,1.80329,0.91364,0.13394,0.53815,0.22988,0.18823,0.72213,1.78647,0.86398,0.00979058,0.00979058,0.00979058
4,480.026,0.74927,1.69095,0.87117,0.25245,0.50504,0.30269,0.26174,0.55045,1.60619,0.82508,0.009703,0.009703,0.009703
5,854.931,0.69305,1.60045,0.85364,0.2687,0.45986,0.29482,0.24425,0.70773,1.67031,0.85147,0.009604,0.009604,0.009604
6,989.39,0.66155,1.53888,0.84473,0.32472,0.4854,0.37931,0.31302,0.69596,1.49236,0.8467,0.009505,0.009505,0.009505
7,1084.83,0.63859,1.48705,0.8396,0.35856,0.46452,0.40797,0.35499,0.54756,1.43338,0.81875,0.009406,0.009406,0.009406
8,1187.75,0.62651,1.44095,0.83671,0.40415,0.52228,0.43808,0.3831,0.54006,1.39911,0.81466,0.009307,0.009307,0.009307
9,1281.98,0.61088,1.40144,0.83288,0.84284,0.18143,0.28528,0.24719,0.57442,1.75327,0.82228,0.009208,0.009208,0.009208
10,1387.13,0.60633,1.3626,0.83124,0.40879,0.48242,0.46889,0.40198,0.61048,1.35776,0.82621,0.009109,0.009109,0.009109
11,1478.29,0.60151,1.33018,0.82924,0.50505,0.53281,0.55014,0.49242,0.47467,1.19998,0.80485,0.00901,0.00901,0.00901
12,1584.15,0.5931,1.28719,0.82819,0.51265,0.52977,0.5591,0.50304,0.44984,1.19273,0.79982,0.008911,0.008911,0.008911
13,1678.42,0.58814,1.24825,0.8272,0.53495,0.56104,0.57795,0.5039,0.55859,1.17658,0.81673,0.008812,0.008812,0.008812
14,1771.38,0.58296,1.20693,0.82605,0.6206,0.60177,0.66565,0.59338,0.49086,1.04394,0.80664,0.008713,0.008713,0.008713
15,1885.91,0.57872,1.15483,0.82473,0.58374,0.58022,0.63252,0.58029,0.40597,1.09866,0.79482,0.008614,0.008614,0.008614
16,1978.53,0.5727,1.10568,0.82395,0.58942,0.59386,0.62537,0.56042,0.47773,1.09461,0.8043,0.008515,0.008515,0.008515
17,2080.29,0.56732,1.04778,0.82261,0.72907,0.69457,0.77859,0.69476,0.47693,0.86511,0.8028,0.008416,0.008416,0.008416
18,2205.41,0.56488,0.98853,0.8227,0.78073,0.73941,0.83282,0.73499,0.5194,0.77695,0.8094,0.008317,0.008317,0.008317
19,2298.13,0.55985,0.92767,0.82118,0.8367,0.80376,0.89272,0.7995,0.4736,0.6654,0.80311,0.008218,0.008218,0.008218
20,2396.29,0.55664,0.88512,0.82081,0.80736,0.76901,0.85304,0.75024,0.52614,0.72294,0.81123,0.008119,0.008119,0.008119
21,2505.1,0.55262,0.83564,0.82014,0.86552,0.83985,0.92279,0.81965,0.49933,0.60276,0.80656,0.00802,0.00802,0.00802
22,2602.22,0.55205,0.8024,0.82003,0.87808,0.84005,0.92394,0.83488,0.44435,0.57243,0.79893,0.007921,0.007921,0.007921
23,2712.3,0.54618,0.76049,0.81857,0.90796,0.87183,0.94952,0.85238,0.46286,0.52666,0.80112,0.007822,0.007822,0.007822
24,2806.85,0.54246,0.72466,0.81857,0.89547,0.8665,0.94291,0.8468,0.46722,0.53176,0.80164,0.007723,0.007723,0.007723
25,2921.05,0.53662,0.70255,0.81749,0.93639,0.90174,0.96829,0.86829,0.4631,0.46656,0.8003,0.007624,0.007624,0.007624
26,3444.21,0.53282,0.68114,0.81653,0.91791,0.88793,0.95421,0.86489,0.43647,0.49029,0.79692,0.007525,0.007525,0.007525
27,3556.42,0.52773,0.65742,0.81605,0.92546,0.9012,0.96327,0.87323,0.43228,0.46771,0.79588,0.007426,0.007426,0.007426
28,3658.63,0.52573,0.63706,0.81622,0.92671,0.90487,0.96362,0.86564,0.45973,0.46003,0.80003,0.007327,0.007327,0.007327
29,3794.48,0.51765,0.62759,0.81472,0.95364,0.93931,0.98196,0.89407,0.4247,0.40564,0.79486,0.007228,0.007228,0.007228
30,3890.34,0.51187,0.60624,0.81395,0.96284,0.9476,0.98621,0.8936,0.43674,0.38662,0.79636,0.007129,0.007129,0.007129
31,3991.38,0.50607,0.5919,0.81343,0.95795,0.93965,0.98344,0.88653,0.45262,0.39728,0.7992,0.00703,0.00703,0.00703
32,4304.43,0.50129,0.57923,0.81197,0.95385,0.94888,0.98392,0.89381,0.42731,0.3843,0.79515,0.006931,0.006931,0.006931
33,4400.88,0.49548,0.56802,0.8119,0.96762,0.95942,0.98875,0.90522,0.40453,0.35795,0.79191,0.006832,0.006832,0.006832
34,4499.1,0.48923,0.55906,0.81031,0.96999,0.95745,0.98849,0.90157,0.41463,0.35791,0.79299,0.006733,0.006733,0.006733
35,4609.23,0.48348,0.54888,0.80988,0.96979,0.95869,0.98893,0.90751,0.3978,0.3502,0.79048,0.006634,0.006634,0.006634
36,4705.72,0.48074,0.54033,0.80912,0.95457,0.94114,0.98165,0.90072,0.39902,0.37723,0.79094,0.006535,0.006535,0.006535
37,4798.26,0.47412,0.53479,0.80847,0.95127,0.94334,0.98166,0.90166,0.39602,0.37622,0.79035,0.006436,0.006436,0.006436
38,4963.98,0.46651,0.52525,0.80757,0.97884,0.96907,0.99174,0.90982,0.39799,0.33111,0.79039,0.006337,0.006337,0.006337
39,5056.31,0.46224,0.51833,0.80632,0.98147,0.97095,0.99224,0.91703,0.38025,0.31826,0.7878,0.006238,0.006238,0.006238
40,5179.84,0.45724,0.50736,0.80581,0.97979,0.96868,0.9919,0.91726,0.37695,0.3188,0.78717,0.006139,0.006139,0.006139
41,5274.68,0.45216,0.50455,0.80517,0.98365,0.97618,0.99305,0.91776,0.37953,0.30659,0.78763,0.00604,0.00604,0.00604
42,5384.95,0.44456,0.49313,0.80458,0.98213,0.97548,0.9929,0.9182,0.37747,0.30707,0.78719,0.005941,0.005941,0.005941
43,5475.41,0.43928,0.48532,0.80371,0.98372,0.97577,0.99316,0.92293,0.36656,0.3012,0.78559,0.005842,0.005842,0.005842
44,5613.19,0.43281,0.48371,0.80347,0.9723,0.96544,0.98966,0.92166,0.35958,0.31623,0.78474,0.005743,0.005743,0.005743
45,5724.43,0.42916,0.47633,0.80308,0.98426,0.979,0.99344,0.92684,0.35548,0.29143,0.78394,0.005644,0.005644,0.005644
46,5964.97,0.42012,0.46924,0.80099,0.98432,0.97813,0.9936,0.9301,0.34698,0.28785,0.78262,0.005545,0.005545,0.005545
47,6082.71,0.41361,0.46357,0.80072,0.987,0.9807,0.99375,0.93459,0.33666,0.28231,0.78128,0.005446,0.005446,0.005446
48,6176.42,0.40585,0.458,0.8006,0.98609,0.97734,0.99345,0.93342,0.33802,0.28482,0.78166,0.005347,0.005347,0.005347
49,6319.31,0.39804,0.45519,0.79991,0.98646,0.98251,0.99385,0.93564,0.33333,0.27579,0.78101,0.005248,0.005248,0.005248
